연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"2813",경기도 성남시,분당구,운중동,분당운중-A-10,운중동 888-11번지,운중로14번길 5-13 (운중동),"2011","4","37.392368 ","127.066300 ",2025-11-12,0.70
"2814",경기도 성남시,분당구,운중동,분당운중-A-11,운중동 889번지,,"2011","1","37.392597 ","127.066798 ",2025-11-12,0.70
"2815",경기도 성남시,분당구,운중동,분당운중-A-12,운중동 889번지,,"2011","1","37.392299 ","127.067055 ",2025-11-12,0.70
"2816",경기도 성남시,분당구,운중동,분당운중-A-13,운중동 892-10번지,,"2011","1","37.391752 ","127.067390 ",2025-11-12,0.70
"2817",경기도 성남시,분당구,운중동,분당운중-A-14,운중동 893번지,,"2011","4","37.392520 ","127.068380 ",2025-11-12,0.70
"2818",경기도 성남시,분당구,운중동,분당운중-A-15,운중동 894-2번지,,"2011","1","37.392814 ","127.069787 ",2025-11-12,0.70
"2819",경기도 성남시,분당구,운중동,분당운중-A-16,운중동 892-11번지,,"2011","4","37.393049 ","127.070268 ",2025-11-12,0.70
"2820",경기도 성남시,분당구,운중동,분당운중-A-17,운중동 893-2번지,,"2011","4","37.392268 ","127.069494 ",2025-11-12,0.70
"2821",경기도 성남시,분당구,운중동,분당운중-A-18,운중동 898-5번지,,"2011","1","37.391562 ","127.069492 ",2025-11-12,0.70
"2822",경기도 성남시,분당구,운중동,분당운중-A-19,운중동 900번지,,"2011","1","37.391128 ","127.067134 ",2025-11-12,0.70
"2823",경기도 성남시,분당구,운중동,분당운중-A-20,운중동 904-9번지,,"2011","1","37.390694 ","127.065809 ",2025-11-12,0.70
"2824",경기도 성남시,분당구,운중동,분당운중-A-21,운중동 911-20번지,,"2011","1","37.390235 ","127.065801 ",2025-11-12,0.70
"2825",경기도 성남시,분당구,운중동,분당운중-A-22,운중동 908-13번지,,"2011","1","37.390071 ","127.067653 ",2025-11-12,0.70
"2826",경기도 성남시,분당구,운중동,분당운중-A-23,운중동 910-9번지,,"2011","1","37.389619 ","127.068702 ",2025-11-12,0.70
"2827",경기도 성남시,분당구,운중동,분당운중-A-24,운중동 990번지,,"2011","1","37.394168 ","127.073206 ",2025-11-12,0.70
"2828",경기도 성남시,분당구,운중동,분당운중-A-25,운중동 988-1번지,,"2011","1","37.393765 ","127.073123 ",2025-11-12,0.70
"2829",경기도 성남시,분당구,운중동,분당운중-A-26,운중동 987-1번지,,"2011","1","37.394203 ","127.076047 ",2025-11-12,0.70
"2830",경기도 성남시,분당구,운중동,분당운중-A-27,운중동 985-13번지,,"2011","1","37.393711 ","127.077813 ",2025-11-12,0.70
"2831",경기도 성남시,분당구,운중동,분당운중-A-28,운중동 990번지,,"2011","1","37.396469 ","127.081177 ",2025-11-12,0.70
"2832",경기도 성남시,분당구,운중동,분당운중-A-29,운중동 990번지,,"2011","1","37.396512 ","127.078795 ",2025-11-12,0.70
"2833",경기도 성남시,분당구,운중동,분당운중-A-30,운중동 990번지,,"2011","1","37.397492 ","127.081091 ",2025-11-12,0.70
"2834",경기도 성남시,분당구,운중동,분당운중-A-31,운중동 992번지,,"2011","1","37.396836 ","127.083644 ",2025-11-12,0.70
"2835",경기도 성남시,분당구,운중동,분당운중-A-32,운중동 991-1번지,,"2011","1","37.394674 ","127.081351 ",2025-11-12,0.70
"2836",경기도 성남시,분당구,운중동,분당운중-A-33,운중동 991-1번지,,"2011","1","37.393992 ","127.080295 ",2025-11-12,0.70
"2837",경기도 성남시,분당구,운중동,분당운중-A-34,운중동 986-18번지,산운로170번길 3-3 (운중동),"2011","1","37.393442 ","127.079506 ",2025-11-12,0.70
"2838",경기도 성남시,분당구,운중동,분당운중-A-35,운중동 996-34번지,산운로208번길 37-1 (운중동),"2011","1","37.393096 ","127.080660 ",2025-11-12,0.70
"2839",경기도 성남시,분당구,운중동,분당운중-A-36,운중동 1014-8번지,,"2011","1","37.392922 ","127.082409 ",2025-11-12,0.70
"2840",경기도 성남시,분당구,운중동,분당운중-A-37,운중동 956-3번지,,"2011","5","37.392961 ","127.073037 ",2025-11-12,0.70
"2841",경기도 성남시,분당구,운중동,분당운중-A-38,운중동 981-8번지,,"0","1","37.392918 ","127.076577 ",2025-11-12,0.70
"2842",경기도 성남시,분당구,운중동,분당운중-A-39,운중동 975-4번지,,"2011","1","37.392440 ","127.077691 ",2025-11-12,0.70
"2843",경기도 성남시,분당구,운중동,분당운중-A-40,운중동 971-7번지,판교원로81번길 9 (운중동),"2011","1","37.392912 ","127.078695 ",2025-11-12,0.70
"2844",경기도 성남시,분당구,운중동,분당운중-A-41,운중동 898-6번지,판교원로81번길 9 (운중동),"2011","1","37.391765 ","127.075879 ",2025-11-12,0.70
"2845",경기도 성남시,분당구,운중동,분당운중-A-42,운중동 962-1번지,,"2011","5","37.392108 ","127.077179 ",2025-11-12,0.70
"2846",경기도 성남시,분당구,운중동,분당운중-A-43,운중동 968-1번지,,"2011","4","37.391956 ","127.079012 ",2025-11-12,0.70
"2847",경기도 성남시,분당구,운중동,분당운중-A-44,운중동 1001-5번지,운중로 124 (운중동),"2011","4","37.392769 ","127.081039 ",2025-11-12,0.70
"2848",경기도 성남시,분당구,운중동,분당운중-A-45,운중동 997-8번지,,"2011","4","37.391866 ","127.080544 ",2025-11-12,0.70
"2849",경기도 성남시,분당구,운중동,분당운중-A-46,운중동 1001-14번지,,"2011","4","37.392481 ","127.082959 ",2025-11-12,0.70
"2850",경기도 성남시,분당구,운중동,분당운중-A-47,운중동 1004-9번지,운중로166번길 4 (운중동),"2011","1","37.392161 ","127.082431 ",2025-11-12,0.70
"2851",경기도 성남시,분당구,운중동,분당운중-A-48,운중동 898-6번지,운중로 172 (운중동),"2011","3","37.391330 ","127.082316 ",2025-11-12,0.70
"2852",경기도 성남시,분당구,운중동,분당운중-A-49,운중동 898-6번지,,"2011","5","37.391509 ","127.073079 ",2025-11-12,0.70
"2853",경기도 성남시,분당구,운중동,분당운중-A-50,운중동 953번지,,"2011","1","37.390603 ","127.071976 ",2025-11-12,0.70
"2854",경기도 성남시,분당구,운중동,분당운중-A-51,운중동 953번지,,"2011","3","37.390070 ","127.075520 ",2025-11-12,0.70
"2855",경기도 성남시,분당구,운중동,분당운중-A-52,운중동 929-4번지,,"2011","1","37.390355 ","127.076061 ",2025-11-12,0.70
"2856",경기도 성남시,분당구,운중동,분당운중-A-53,운중동 938-1번지,,"2011","4","37.391139 ","127.076490 ",2025-11-12,0.70
"2857",경기도 성남시,분당구,운중동,분당운중-A-54,운중동 945번지,,"2011","1","37.391534 ","127.077156 ",2025-11-12,0.70
"2858",경기도 성남시,분당구,운중동,분당운중-A-55,운중동 938-1번지,,"2011","1","37.391054 ","127.078593 ",2025-11-12,0.70
"2859",경기도 성남시,분당구,운중동,분당운중-A-56,운중동 939-1번지,운중로166번길 19-13 (운중동),"2011","1","37.391034 ","127.079840 ",2025-11-12,0.70
"2860",경기도 성남시,분당구,운중동,분당운중-A-57,운중동 1019-9번지,,"2011","1","37.390908 ","127.081402 ",2025-11-12,0.70
"2861",경기도 성남시,분당구,운중동,분당운중-A-58,운중동 1018-2번지,,"2011","1","37.391159 ","127.082306 ",2025-11-12,0.70
"2862",경기도 성남시,분당구,운중동,분당운중-A-59,운중동 1027-6번지,,"2011","1","37.390654 ","127.082647 ",2025-11-12,0.70
"2863",경기도 성남시,분당구,운중동,분당운중-A-60,운중동 927-1번지,,"2011","3","37.390108 ","127.078884 ",2025-11-12,0.70
"2864",경기도 성남시,분당구,운중동,분당운중-A-61,운중동 1036-11번지,,2020-07,"4","37.389804 ","127.079722 ",2025-11-12,0.70
"2865",경기도 성남시,분당구,운중동,분당운중-A-62,운중동 1027-5번지,,"2011","1","37.390048 ","127.082022 ",2025-11-12,0.70
"2866",경기도 성남시,분당구,운중동,분당운중-A-63,운중동 927-2번지,,"2011","4","37.388858 ","127.079517 ",2025-11-12,0.70
"2867",경기도 성남시,분당구,운중동,분당운중-A-64,운중동 1040-4번지,,"2011","4","37.389163 ","127.080738 ",2025-11-12,0.70
"2868",경기도 성남시,분당구,운중동,분당운중-A-65,운중동 1041번지,,"2011","3","37.389029 ","127.081316 ",2025-11-12,0.70
